id,dim0,dim1,split
a29c5a68b07b.jpg,2320,2828,test
9850b5470fd6.jpg,2330,2382,test
8d6dea06a032.jpg,2422,3344,test
dfc5c09a50bc.jpg,1140,1387,test
7230234e120a.jpg,2318,2383,test
f785f9c6bbf7.jpg,2800,3285,test
bb425c8a4aae.jpg,2263,2378,test
5a0de0207028.jpg,3480,4240,test
9f6cc74b0062.jpg,2320,2832,test
e8b4525ec41f.jpg,2336,2836,test
376d6d181b25.jpg,2320,2832,test
f1b95b972b74.jpg,2935,3408,test
4041be34745f.jpg,3488,4256,test
b5b00763a191.jpg,3488,4256,test
ba91d37ee459.jpg,2320,2832,test
c6fa6b9b8093.jpg,2735,2622,test
e5e44940be7a.jpg,2735,2622,test
695e2c6dede4.jpg,2048,2500,test
59911e31f963.jpg,2416,2872,test
a840d15a7cdc.jpg,2416,2872,test
b873cfe5cead.jpg,2516,3027,test
898d24f3cda6.jpg,2520,2637,test
a492841dcf21.jpg,1760,2140,test
240bf89e4d58.jpg,2539,3050,test
87a0829f53c1.jpg,2496,2982,test
65be7fc2448a.jpg,2117,2514,test
f31bb833e467.jpg,2800,3408,test
6aedc81fb62d.jpg,2800,3408,test
4eecfe2a4de1.jpg,2520,3032,test
b04178e642ed.jpg,2320,2832,test
dfb6a487e854.jpg,3480,4240,test
b3d87adb933b.jpg,2292,2807,test
c3deaf98bf56.jpg,2010,2431,test
d42cadfaac8f.jpg,2991,2986,test
4ece84b1cfb8.jpg,2330,2846,test
5b27050cfb90.jpg,1140,1387,test
5c9f41283e7c.jpg,2536,3048,test
3d465a00a9b6.jpg,3480,4248,test
8927235865c9.jpg,2991,2992,test
1ba8aa7acf76.jpg,2336,2836,test
96e1e1cf5431.jpg,4020,4891,test
11349660bb1a.jpg,1140,1387,test
c00bae0e7714.jpg,2330,2846,test
23d8a619f39c.jpg,3488,4256,test
69d1134dccc6.jpg,2893,2990,test
5020cd97beb8.jpg,2520,3032,test
ad3e33d5f844.jpg,2520,3032,test
d7e440b4dc62.jpg,2539,3050,test
9a526c2b4891.jpg,1140,1387,test
0c2ad4c7a6c4.jpg,2540,2880,test
95a69615f643.jpg,2010,2431,test
773998cb3cbe.jpg,2874,2808,test
ff5448be90d5.jpg,3520,4280,test
3f1439b85338.jpg,2539,3050,test
36ba388a18df.jpg,3480,4248,test
404d53460643.jpg,3480,4248,test
c955b7274092.jpg,2539,3050,test
5dd9e477a6ee.jpg,1140,1387,test
d0de673a7b63.jpg,2956,2860,test
a459429226e0.jpg,2304,2880,test
c6c9bf98487a.jpg,2321,2641,test
047ba804182b.jpg,2328,2521,test
1d981fb423e0.jpg,3480,4248,test
ae357fad39c2.jpg,2800,3408,test
a9d318c0b89e.jpg,2800,3408,test
4ffdca4189d5.jpg,2320,2832,test
b92e6f1b6c1b.jpg,1760,2140,test
84d25a1cef94.jpg,2133,2362,test
49e9379c42dc.jpg,2336,2836,test
95b2cd351ef0.jpg,2014,2014,test
b576b0f1eeac.jpg,2989,2992,test
b411d3c30168.jpg,2290,2726,test
2a2f54eb48df.jpg,2996,3052,test
ba0cf340582d.jpg,3488,4256,test
af6abf791a39.jpg,1140,1387,test
51cbf7662bee.jpg,1140,1387,test
cdcfbf2ca285.jpg,2336,2836,test
d832414be226.jpg,2336,2836,test
1fb5ca50e8d3.jpg,2330,2846,test
b5a75701a05e.jpg,2447,2989,test
55ecad406759.jpg,3488,4256,test
c263b1e9aa64.jpg,2801,2802,test
942313ae4303.jpg,3480,4248,test
6be23f5c40f3.jpg,2539,3050,test
3247432330d8.jpg,2560,3072,test
fd7f440d5444.jpg,3480,4248,test
d3270449d5c5.jpg,3296,3050,test
bf8e59f80d5c.jpg,3480,4240,test
b09b20b44640.jpg,2336,2836,test
6eb71d191dec.jpg,2540,2880,test
ecdd379e2a9b.jpg,3488,4256,test
8c3864112d54.jpg,2436,3032,test
f2eaa573742f.jpg,2060,2150,test
fb1e3b68864d.jpg,2520,3032,test
d4a4dc17bb61.jpg,2520,3032,test
e3a4dddc69b6.jpg,3032,3032,test
895701fa488e.jpg,3032,3032,test
9bc2041c6ac0.jpg,2544,3056,test
ae9849096225.jpg,3480,4248,test
16d5b63ac279.jpg,3052,3004,test
7bbafcdea0cc.jpg,1140,1387,test
1450e124011a.jpg,2540,2880,test
efd8a04416af.jpg,3032,3032,test
977a20a10137.jpg,2336,2836,test
251f897c9e10.jpg,3052,2780,test
f5b45b497add.jpg,3480,4248,test
440de3bfe05a.jpg,2996,2988,test
b1c455a826eb.jpg,2336,2836,test
f900aac4111b.jpg,3032,3032,test
db4cecc08fe8.jpg,2544,3056,test
8727f101e9f6.jpg,2355,2780,test
db1af486b119.jpg,2801,2802,test
aebc1d3a968d.jpg,2800,3408,test
18a23df4fe99.jpg,3480,4248,test
dc5141a2316a.jpg,4020,4891,test
aa55fc6c616c.jpg,3001,3001,test
eeff73683974.jpg,2996,2876,test
c8ebcc491f27.jpg,2336,2836,test
b5b53f0a4947.jpg,2800,3408,test
